feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0.018557701,0.005241317,CCL3,PRF1,0.032875756,0.00598883
0.036924607,0.026796007,CCL4L2,PRF1,0.065413512,0.030617631
0.006746828,0.005072834,ALB,PRF1,0.011952292,0.005796317
0.00897273,0.004012084,KIR3DL1,PRF1,0.015895572,0.004584284
0,0,CYP2B6,PRF1,0,0
0.008359493,0.006904992,CD40LG,PRF1,0.014809198,0.007889776
0.130320084,0.140942227,HLA-B,PRF1,0.230867572,0.161043291
0,0,CRP,FAS,0,0
0.036552585,0.013170399,FCGR3A,FAS,0.064754459,0.015048751
0.004917566,0.000435451,IL10,FAS,0.008711678,0.000497554
0.051749316,0.00584992,CD28,FAS,0.091676114,0.006684231
0.051894336,0.013054314,CX3CR1,FAS,0.091933023,0.01491611
0.015778012,0.000432155,CCR2,FAS,0.027951419,0.000493788
0.007276245,0.002155437,CCR5,FAS,0.012890178,0.002462843
0,0,ALB,FAS,0,0
0,0,IL2,FAS,0,0
0.015957423,0.002972777,ABCB1,FAS,0.028269253,0.003396752
0,0,HP,FAS,0,0
0.023936059,0.003187899,IL2RA,FAS,0.042403746,0.003642555
0,0,MBL2,FAS,0,0
0,0,CXCL12,FAS,0,0
0.111356174,0.028962701,PRF1,FAS,0.197272199,0.033093338
0.135108005,0.066659949,CCL5,FAS,0.239349577,0.076166936
0.010167185,0.000932898,MKI67,FAS,0.0180116,0.001065947
0.01837365,0.000724286,TRIM5,FAS,0.032549702,0.000827583
0.019249778,0.001308487,IFNG,FAS,0.034101801,0.001495102
0.014557857,0.016376187,SERPINA1,FAS,0.025789863,0.018711745
0.000738872,2.91E-05,HP,FAS,0.001308943,3.33E-05
0,0,CCL2,FAS,0,0
0,0,CCL11,FAS,0,0
0.013296774,0.002254288,CCL3,FAS,0.023555801,0.002575793
0.045355826,0.00572541,CCL4L2,FAS,0.080349776,0.006541963
0.004934081,0.000772124,ALB,FAS,0.008740934,0.000882243
0.00895068,0.001785479,KIR3DL1,FAS,0.01585651,0.002040122
0,0,CYP2B6,FAS,0,0
0.037688344,0.00461706,CD40LG,FAS,0.066766504,0.005275542
0.372161234,0.035747019,HLA-B,FAS,0.659299455,0.04084523
0,0,CRP,CCL5,0,0
0.028569539,0.069766018,FCGR3A,CCL5,0.050612154,0.079715989
0.000216398,0.00470888,IL10,CCL5,0.000383359,0.005380456
0.019797847,0.030657595,CD28,CCL5,0.035072728,0.035029956
0.053681981,0.057144349,CX3CR1,CCL5,0.095099913,0.065294229
0.006959507,0.00334057,CCR2,CCL5,0.012329063,0.003816999
0.00753124,0.003572548,CCR5,CCL5,0.013341912,0.004082061
0,0,ALB,CCL5,0,0
0,0,IL2,CCL5,0,0
0.010935301,0.005335807,ABCB1,CCL5,0.019372351,0.006096795
0,0,HP,CCL5,0,0
0.009820109,0.018113847,IL2RA,CCL5,0.017396742,0.020697229
0,0,MBL2,CCL5,0,0
0,0,CXCL12,CCL5,0,0
0.392172477,0.507755206,PRF1,CCL5,0.694750224,0.580170833
0.015354256,0.010215445,FAS,CCL5,0.027200717,0.011672364
0.004214255,0.007616486,MKI67,CCL5,0.007465732,0.008702743
0.01139183,0.002434579,TRIM5,CCL5,0.020181112,0.002781797
0.013996964,0.021324275,IFNG,CCL5,0.024796217,0.024365525
0.031419606,0.108307738,SERPINA1,CCL5,0.055661169,0.123754498
0.000366219,0.000837874,HP,CCL5,0.000648772,0.00095737
0,0,CCL2,CCL5,0,0
0,0,CCL11,CCL5,0,0
0.010130169,0.009821024,FAS,CCL5,0.017946025,0.01122169
0.005846864,0.003635311,CCL3,CCL5,0.010357969,0.004153776
